Phase,Foot_X,Foot_Y,Knee_Angle,Ankle_Angle
8.787878787878788955e-01,1.785568241109816157e-01,-9.185713449640600103e-01,-3.283566792174261173e-02,-1.358444151500088903e+00
8.888888888888889506e-01,1.585916878230697880e-01,-9.170509777913540272e-01,-1.335474607679005415e-02,-1.391232650501926127e+00
8.989898989898991166e-01,1.284312061707133246e-01,-9.209675080000401248e-01,-1.510768094226101407e-02,-1.422774245791855074e+00
9.090909090909091717e-01,1.344332225660360425e-01,-9.109487750765793423e-01,2.398422947165725939e-03,-1.425747103887178291e+00
9.191919191919192267e-01,1.270500261123035379e-01,-8.836083932867325741e-01,2.114881419480542368e-02,-1.442956560870406468e+00
9.292929292929293927e-01,9.833542589170231329e-02,-8.553743805331306405e-01,-2.307194115654953581e-02,-1.440103837175481738e+00
9.393939393939394478e-01,7.467544099106479538e-02,-8.434702340210038507e-01,-9.835985119104445618e-02,-1.412422325531258682e+00
9.494949494949496138e-01,5.112727262940632011e-02,-8.391028348988671670e-01,6.011533383956129545e-02,-1.552862513320569793e+00
9.595959595959596689e-01,2.863835650761570664e-02,-8.426058210849721730e-01,2.427491853536092037e-01,-1.712487860484681379e+00
9.696969696969697239e-01,1.080398349776810936e-02,-8.492690415283595806e-01,2.364378614071090956e-01,-1.734944461863581644e+00
9.797979797979798899e-01,-3.304033885845305586e-03,-8.398737056721993222e-01,2.448334398252568489e-01,-1.760632256629354186e+00
9.898989898989899450e-01,-1.116659326237439895e-02,-8.274888327407425859e-01,2.908923995138805729e-01,-1.802593229793296281e+00
1.000000000000000000e+00,-8.813195861876010895e-03,-8.377688527107238770e-01,3.150978088378906250e-01,-1.815630674362182617e+00
